Rank,Release,Gross,Max_Th,Opening,%_of_Total,Open_Th,Open,Close,Distributor
1,Avengers: Endgame,"$858,373,000","4,662","$357,115,007",41.6%,"4,662",Apr 26,Sep 12,Walt Disney Studios Motion Pictures
2,The Lion King,"$543,638,043","4,802","$191,770,759",35.3%,"4,725",Jul 19,Dec 5,Walt Disney Studios Motion Pictures
3,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","4,406","$177,383,864",34.4%,"4,406",Dec 20,-,Walt Disney Studios Motion Pictures
4,Frozen II,"$477,373,578","4,440","$130,263,358",27.3%,"4,440",Nov 22,-,Walt Disney Studios Motion Pictures
5,Toy Story 4,"$434,038,008","4,575","$120,908,065",27.9%,"4,575",Jun 21,Dec 5,Walt Disney Studios Motion Pictures
6,Captain Marvel,"$426,829,839","4,310","$153,433,423",35.9%,"4,310",Mar 8,Jul 4,Walt Disney Studios Motion Pictures
7,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212",23.7%,"4,634",Jul 2,Oct 24,Sony Pictures Releasing
8,Aladdin,"$355,559,216","4,476","$91,500,929",25.7%,"4,476",May 24,Oct 24,Walt Disney Studios Motion Pictures
9,Joker,"$335,451,311","4,374","$96,202,337",28.7%,"4,374",Oct 4,-,Warner Bros.
10,Jumanji: The Next Level,"$316,831,246","4,227","$59,251,543",18.7%,"4,227",Dec 13,-,Sony Pictures Releasing
11,It Chapter Two,"$211,593,228","4,570","$91,062,152",43%,"4,570",Sep 6,Dec 5,Warner Bros.
12,Us,"$175,084,580","3,743","$71,117,625",40.6%,"3,741",Mar 22,Jun 6,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935","4,344","$60,038,950",34.5%,"4,253",Aug 2,Nov 1,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,"$171,015,687","3,850","$56,818,067",33.2%,"3,850",May 17,Sep 12,Lionsgate
15,Knives Out,"$165,363,234","3,461","$26,769,548",16.2%,"3,461",Nov 27,-,Lionsgate
16,How to Train Your Dragon: The Hidden World,"$160,799,505","4,286","$55,022,245",34.2%,"4,259",Feb 22,Jun 13,Universal Pictures
17,1917,"$159,227,644","3,987","$576,216",0.4%,11,Dec 25,-,Universal Pictures
18,The Secret Life of Pets 2,"$158,874,395","4,564","$46,652,680",29.4%,"4,561",Jun 7,Sep 19,Universal Pictures
19,Pokémon Detective Pikachu,"$144,105,346","4,248","$54,365,242",37.7%,"4,202",May 10,Aug 15,Warner Bros.
20,Once Upon a Time... in Hollywood,"$142,502,728","3,659","$41,082,018",28.8%,"3,659",Jul 26,Feb 20,Sony Pictures Releasing
21,Shazam!,"$140,371,656","4,306","$53,505,326",38.1%,"4,217",Apr 5,Jul 25,Warner Bros.
22,Ford v Ferrari,"$117,624,357","3,746","$31,474,958",26.8%,"3,528",Nov 15,-,Twentieth Century Fox
23,Dumbo,"$114,766,307","4,259","$45,990,748",40.1%,"4,259",Mar 29,Aug 8,Walt Disney Studios Motion Pictures
24,Maleficent: Mistress of Evil,"$113,929,605","3,820","$36,948,713",32.4%,"3,790",Oct 18,Feb 13,Walt Disney Studios Motion Pictures
25,Glass,"$111,048,468","3,844","$40,328,920",36.3%,"3,841",Jan 18,Apr 4,Universal Pictures
26,Godzilla: King of the Monsters,"$110,500,138","4,108","$47,776,293",43.2%,"4,108",May 31,Aug 29,Warner Bros.
27,The Upside,"$108,252,517","3,568","$20,355,000",18.8%,"3,080",Jan 11,May 2,STX Entertainment
28,Little Women,"$108,101,214","3,308","$16,755,310",15.5%,"3,308",Dec 25,-,Sony Pictures Releasing
29,The Lego Movie 2: The Second Part,"$105,806,508","4,303","$34,115,335",32.2%,"4,303",Feb 8,May 9,Warner Bros.
30,Hustlers,"$104,963,598","3,525","$33,181,361",31.6%,"3,250",Sep 13,Jan 9,STX Entertainment
31,The Addams Family,"$100,044,905","4,107","$30,300,007",30.3%,"4,007",Oct 11,-,United Artists Releasing
32,Downton Abbey,"$96,854,135","3,548","$31,033,665",32%,"3,079",Sep 20,-,Focus Features
33,Rocketman,"$96,368,160","3,610","$25,725,722",26.7%,"3,610",May 31,Sep 5,Paramount Pictures
34,Alita: Battle Angel,"$85,710,210","3,802","$28,525,613",33.3%,"3,790",Feb 14,May 9,Twentieth Century Fox
35,Good Boys,"$83,140,306","3,458","$21,402,605",25.7%,"3,204",Aug 16,Nov 1,Universal Pictures
36,Men in Black: International,"$80,001,807","4,224","$30,035,838",37.5%,"4,224",Jun 14,Oct 6,Sony Pictures Releasing
37,Annabelle Comes Home,"$74,152,591","3,613","$20,269,723",27.3%,"3,613",Jun 26,Oct 3,Warner Bros.
38,Yesterday,"$73,286,650","2,755","$17,010,050",23.2%,"2,603",Jun 28,Sep 5,Universal Pictures
39,A Madea Family Funeral,"$73,257,045","2,442","$27,062,332",36.9%,"2,442",Mar 1,May 16,Lionsgate
40,Zombieland: Double Tap,"$73,123,082","3,468","$26,803,104",36.7%,"3,468",Oct 18,Jan 23,Sony Pictures Releasing
41,Angel Has Fallen,"$69,030,436","3,336","$21,380,987",31%,"3,286",Aug 23,Oct 31,Lionsgate
